id,nombreOriginal,nombreEspañol,descripcion,clinicaTratante,imagen,especialistasTratan,createdAt,updatedAt
1,Paroxysmal Positional Vertigo,Vértigo posicional paroxístico benigno,El vértigo posicional paroxístico benigno (VPPB) es un trastorno del oído interno que causa vértigo.,1,https://clinicabarona.com/wp-content/uploads/2023/07/pacientes_con_vertigo.jpg,{7},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
2,AIDS,SIDA,El síndrome de inmunodeficiencia adquirida (SIDA) es una enfermedad crónica causada por el virus de la inmunodeficiencia humana (VIH).,1,https://statics-cuidateplus.marca.com/cms/styles/natural/azblob/vih-sida.jpg.webp?itok=sltAiKkn,{1},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
3,Acne,Acné,El acné es una enfermedad de la piel que ocurre cuando los folículos pilosos de la piel se obstruyen con aceite y células muertas de la piel.,2,https://t1.uc.ltmcdn.com/es/posts/2/3/0/acne_quistico_que_es_y_tratamiento_52032_600.jpg,{2},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
4,Alcoholic hepatitis,Hepatitis alcohólica,La hepatitis alcohólica es una enfermedad del hígado causada por el consumo excesivo de alcohol.,4,https://res.cloudinary.com/middlesex-hospital/image/upload/mhsMayoMedia/5b5f6a52-28f9-46a3-bfe6-48b996e20a3d_es,{4},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
5,Allergy,Alergia,Una alergia es una reacción exagerada del sistema inmunitario a una sustancia que normalmente es inofensiva.,5,https://www.laprensa.hn/binrepository/1020x680/0c50/1020d580/none/11004/LVIX/364383e0-efca-11ed-9ff7-c7530bbc2b6a_5842973_20231022215658.jpg,{13},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
6,Arthritis,Artritis,La artritis es la inflamación de una o más articulaciones lo que puede causar dolor y rigidez en las articulaciones.,8,https://www.doctorponce.com/wp-content/uploads/2024/02/ARTRITIS-REUMATOIDE-DEDOS.jpg,{8},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
7,Bronchial Asthma,Asma bronquial,El asma bronquial es una enfermedad crónica de las vías respiratorias que causa dificultad para respirar.,5,https://www.topdoctors.es/files/Image/large/59a533b2-9c50-4b16-bb1a-1ed38ac97da0.jpg,{13},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
8,Cervical spondylosis,Espondilosis cervical,La espondilosis cervical es un trastorno degenerativo que afecta los discos y las articulaciones en el cuello.,6,https://centrodecolumnavertebral.com/wp-content/uploads/2023/08/espondilosis-cervical.jpg,"{7,14}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
9,Chicken pox,Varicela,La varicela es una infección viral caracterizada por una erupción cutánea con picazón y ampollas.,1,https://www.eloccidental.com.mx/local/h3e54u-varicela-cuartoscuro.jpg/ALTERNATES/LANDSCAPE_1140/Varicela%20cuartoscuro.jpg,"{9,10}","2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
10,Chronic cholestasis,Colestasis crónica,La colestasis crónica es un trastorno hepático en el que el flujo de bilis desde el hígado se ve obstruido.,3,https://netmd.org/images/hepatitis-viral.jpg,{3},"2024-06-06T00:00:00Z","2024-06-06T00:00:00Z"
