idSintoma,clave,descripcion,createdAt,updatedAt
1,Comezon,"Sensación de picazón o irritación en la piel","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
2,Sarpullido,"Erupción cutánea con pequeñas manchas rojas o irritadas","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
3,Sarpullido_en_ganglios_linfaticos,"Erupción cutánea que aparece en los ganglios linfáticos","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
4,Estornudos_Frecuentes,"Estornudos repetitivos y constantes","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
5,Temblores,"Movimientos involuntarios y temblorosos del cuerpo","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
6,Escalofrios,"Sensación de frío intenso acompañada de temblores","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
7,Dolor_en_articulaciones,"Dolor e inflamación en las articulaciones","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
9,Dolor_de_estomago,"Dolor o molestia en la región del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
10,Acidez,"Sensación de ardor o malestar en el estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
11,Ulceras_en_la_lengua,"Presencia de úlceras o llagas en la lengua","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
12,Atrofia_muscular,"Pérdida de masa y fuerza muscular","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
13,Vomito,"Expulsión involuntaria del contenido del estómago","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
14,Ardor_al_orinar,"Sensación de ardor o irritación al orinar","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
15,Sangre_en_orina,"Presencia de sangre en la orina","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
16,Fatiga,"Cansancio y agotamiento físico o mental","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
17,Aumento_de_peso,"Incremento en el peso corporal","2024-06-05T00:23:08-06:00","2024-06-05T00:23:08-06:00"
